chan	theta	phi
1	23	-30
2	23	30
3	45	-60
4	45	-30
5	45	0
6	45	30
7	45	60
8	68	-78
9	68	-54
10	68	-30
11	68	-6
12	68	18
13	68	42
14	68	66
15	90	-68
16	90	-45
17	90	-22
18	90	0
19	90	22
20	90	45
21	90	68
22	113	-65
23	113	-40
24	113	10
25	113	35
26	113	-90
27	90	-90
28	45	-90
29	23	-90
30	0	0
31	23	90
32	113	-15
33	-23	30
34	-23	-30
35	-45	60
36	-45	30
37	-45	0
38	-45	-30
39	-45	-60
40	-68	78
41	-68	54
42	-68	30
43	-68	6
44	-68	-18
45	-68	-42
46	-68	-66
47	-90	68
48	-90	45
49	-90	22
50	-90	0
51	-90	-22
52	-90	-45
53	-90	-68
54	-113	65
55	-113	40
56	-113	-10
57	-113	-35
58	45	90
59	68	90
60	90	90
M1	-113	15
M2	136	22
